RMSE,rate,rank,d
0.498531888,0.0225,3,20
0.307322217,0.01,3,30
0.243672182,0.005625,3,40
0.208047689,0.0036,3,50
0.185219484,0.0025,3,60
0.163653971,0.001836735,3,70
0.847333924,0.0625,5,20
0.362404367,0.027777778,5,30
0.251603404,0.015625,5,40
0.248650376,0.01,5,50
0.164786237,0.006944444,5,60
0.134774966,0.005102041,5,70
1.033109577,0.09,6,20
0.44173472,0.04,6,30
0.279938304,0.0225,6,40
0.2213689,0.0144,6,50
0.178575016,0.01,6,60
0.151390745,0.007346939,6,70
2.355138092,0.1225,7,20
0.506335289,0.054444444,7,30
0.312584727,0.030625,7,40
0.241282054,0.0196,7,50
0.190911991,0.013611111,7,60
0.164917506,0.01,7,70
21.49144765,0.16,8,20
0.601397474,0.071111111,8,30
0.357314359,0.04,8,40
0.262104479,0.0256,8,50
0.208180609,0.017777778,8,60
0.175457522,0.013061224,8,70
